Movie_Name,Release_Date(N/LW/Festive),Genre-Defind,Movie_Content,Dir_CAT,LEAD_ACTOR_CAT,Item_Song(Y/N),Production_House_CAT,Music_Dir_CAT,Box_Office_Collection,Profit,Earning_Ratio,Budget,Youtube_Views,Youtube_Likes,Youtube_Dislikes,Success/Faliure
Kochadaiiyaan,HS,Action / Sci Fi,Masala,LK,A,0,A,A,120,-30,0.8,150,4740727,13466,2649,0
Shaadi Ke Side Effects,N,Comedy,Masala,LK,A,0,B,A,38,-12,0.76,50,4590539,9021,1465,0
Badlapur,FS,Action / Sci Fi,Masala,LK,B,1,A,A,77,54,3.35,23,4550051,10602,893,1
Ek Villain,HS,Romance,Masala,B,B,1,B,B,106,71,3.01,35,4518748,13558,1094,1
Mardaani,N, Drama , Social subject ,LK,B,0,LK,A,36,21,2.4,15,4376650,14408,1035,1
ABCD – Any Body Can Dance,N, Drama ,Masala,B,B,0,B,A,44,32,3.67,12,4042091,10609,788,1
Bullett Raja,N,Comedy,Masala,B,A,1,LK,A,40,-10,0.8,50,4015674,8084,2129,0
Heropanti,HS,Romance,Masala,B,B,0,A,A,65,44,3.1,21,4005695,8189,1814,1
Gunday,N,Action / Sci Fi,Masala,A,A,1,A,LK,77,27,1.53,50,3503887,8383,1419,1
Yaariyan,LW,Romance,Masala,LK,LK,0,A,A,40,21,2.11,19,3331082,4853,767,1
Once Upon Ay Time In Mumbai Dobaara!,FS,Thriller / Suspense / Horror,Prequel / Sequel,B,A,1,A,A,80,-20,0.8,100,3077135,9200,2821,0
Bhootnath Returns,LW,Thriller / Suspense / Horror,Prequel / Sequel,LK,A,0,A,B,53,24,1.83,29,3049275,10759,657,1
Queen,N, Drama ,Masala,B,A,0,A,B,61,36,2.44,25,2981381,5339,443,1
Aashiqui 2,N,Romance,Prequel / Sequel,B,LK,0,A,A,110,98,9.17,12,2926673,4944,628,1
Yamla Pagla Deewana 2,N,Comedy,Prequel / Sequel,LK,A,1,B,B,55,31,2.29,24,2775792,5457,681,1
Bhaag Milkha Bhaag,N, Drama ,Biography,A,A,0,B,A,164,134,5.47,30,2635390,4622,456,1
Hasee To Phansee,N,Romance,Masala,LK,B,1,A,B,36,9,1.31,27,2543707,6390,975,0
Himmatwala,N,Action / Sci Fi,Remake,A,A,1,A,A,100,50,2,50,2501277,1,1,1
Matru Ki Bijlee Ka Mandola,N,Comedy,Masala,A,A,1,A,A,40,7,1.21,33,2435283,4326,647,0
Kill Dil,N,Romance,Masala,B,A,0,A,A,36,1,1.03,35,2375050,4358,555,0
